key,admitCity,admitStateCd,admitStateName,checked4Comparison,combinedDegreesStr,favorite,gpaOverallP10,gpaOverallP90,instId,kind,matricTotal,mcatTotalP10,mcatTotalP90,msarYear,notePresent,priApplEarliestDtText,priApplLatestDtText,primaryApplService,publicPrivate,schoolProgramActiveFlag,schoolProgramName,schoolProgramStatus,totalEnrollment,tuitionAndFeesNonres,tuitionAndFeesRes,usMedTuitionNonres,usMedTuitionRes
3757,Durham,NC,North Carolina,False,"MD/MPH, MD/MBA, MD/JD, MD/PhD, Summer Program",False,3.55,3.99,119,SCHOOL,109.0,31.0,41.0,2016,False,"June 5, 2015","October 15, 2015 -  No Exceptions",AMCAS,Private Institution,,Duke University School of Medicine,APPROVED_LOCKED,492.0,55770.0,55770.0,,
3875,Johnson City,TN,Tennessee,False,MD/MPH,False,3.4,3.98,826,SCHOOL,72.0,26.0,33.0,2016,False,"June 1, 2015","November 15, 2015",AMCAS,Public Institution,,East Tennessee State University James H. Quillen College of Medicine,APPROVED_LOCKED,287.0,61469.0,31191.0,,
3868,Norfolk,VA,Virginia,False,"Bacc/MD, MD/MPH, MD/MBA, Postbaccalaureate",False,3.18,3.93,818,SCHOOL,150.0,28.0,35.0,2016,False,"June 1, 2015","November 15, 2015",AMCAS,Public Institution,,Eastern Virginia Medical School,APPROVED_LOCKED,581.0,57802.0,32004.0,,
192,Norfolk,VA,Virginia,False,,False,,,127152,JPROG,9.0,,,2016,False,Varies,Varies,,,,Eastern Virginia Medical School Combined Degree Program,APPROVED_LOCKED,52.0,0.0,0.0,57802.0,32004.0
3759,Atlanta,GA,Georgia,False,"MD/MPH, MD/MBA, MD/PhD",False,3.51,3.97,121,SCHOOL,135.0,31.0,38.0,2016,False,"June 1, 2015","October 15, 2015",AMCAS,Private Institution,,Emory University School of Medicine,APPROVED_LOCKED,537.0,50554.0,50554.0,,
3846,Quebec,QC,Quebec,False,"Bacc/MD, MD/MBA, MD/PhD, Postbaccalaureate",False,,,263,SCHOOL,,,,2016,False,"November 15, 2015","March 1, 2016 (Quebec colleges), January 15, 2016 (all others)",,Public Institution,,Faculty of Medicine Université Laval,APPROVED_LOCKED,,,,,
171,Nashville,TN,Tennessee,False,,False,,,127083,JPROG,5.0,,,2016,False,"September 15, 2014","February 1, 2015",,,,Fisk University and Meharry Medical College Joint Program in Biomedical Sciences,APPROVED_LOCKED,12.0,25170.0,25170.0,45213.0,45213.0
3895,Boca Raton,FL,Florida,False,"Bacc/MD, MD/PhD",False,3.34,3.97,854,SCHOOL,64.0,29.0,36.0,2016,False,"June 4, 2015","December 15, 2015",AMCAS,Public Institution,,Florida Atlantic University Charles E. Schmidt College of Medicine,APPROVED_LOCKED,246.0,65361.0,30607.0,,
3883,Miami,FL,Florida,False,,False,3.4,3.95,837,SCHOOL,119.0,28.0,35.0,2016,False,"June 3, 2015","December 1, 2015",AMCAS,Public Institution,,Florida International University Herbert Wertheim College of Medicine,APPROVED_LOCKED,440.0,69424.0,37924.0,,
3862,Tallahassee,FL,Florida,False,Postbaccalaureate,False,3.34,3.94,811,SCHOOL,120.0,24.0,32.0,2016,False,"June 4, 2015","December 1, 2015",AMCAS,Public Institution,,Florida State University College of Medicine,APPROVED_LOCKED,483.0,59330.0,24779.0,,
3896,Hamden,CT,Connecticut,False,,False,3.33,3.92,855,SCHOOL,90.0,28.0,35.0,2016,False,June ,"December 1, 2015",AMCAS,Private Institution,,Frank H. Netter MD School of Medicine at Quinnipiac University,APPROVED_LOCKED,150.0,52220.0,52220.0,,
3756,Hanover,NH,New Hampshire,False,"MD/MPH, MD/MBA, MD/PhD",False,3.41,3.96,118,SCHOOL,89.0,30.0,37.0,2016,False,"June 1, 2015","November 3, 2015 ",AMCAS,Private Institution,,Geisel School of Medicine at Dartmouth,APPROVED_LOCKED,367.0,58368.0,58368.0,,
167,Washington,DC,District of Columbia,False,,False,,,127085,JPROG,10.0,,,2016,False,"September 1, 2015","December 1, 2015",,,,George Washington University SOM and The Columbian College of Arts and Sciences BA/MD  Program,APPROVED_LOCKED,22.0,47290.0,47290.0,54233.0,54233.0
3761,Washington,DC,District of Columbia,False,"Bacc/MD, MD/MPH, MD/PhD, Postbaccalaureate",False,3.44,3.93,123,SCHOOL,178.0,27.0,35.0,2016,False,"June 4, 2015","November 16, 2015",AMCAS,Private Institution,,George Washington University School of Medicine and Health Sciences,APPROVED_LOCKED,723.0,54233.0,54233.0,,
3760,Washington,DC,District of Columbia,False,"MD/MPH, MD/MBA, MD/PhD, Postbaccalaureate, Summer Program",False,3.29,3.92,122,SCHOOL,196.0,29.0,37.0,2016,False,"June 2, 2015","November 3, 2015",AMCAS,Private Institution,,Georgetown University School of Medicine,APPROVED_LOCKED,791.0,55136.0,55136.0,,
3763,Boston,MA,Massachusetts,False,"MD/MPH, MD/MBA, MD/PhD",False,3.72,4.0,126,SCHOOL,164.0,31.0,41.0,2016,False,"June 1, 2015","October 15, 2015",AMCAS,Private Institution,,Harvard Medical School,APPROVED_LOCKED,729.0,55785.0,55785.0,,
3887,Hempstead,NY,New York,False,"Bacc/MD, MD/MPH, MD/PhD",False,3.41,3.94,845,SCHOOL,98.0,30.0,37.0,2016,False,"June 1, 2015","November 1, 2015",AMCAS,Private Institution,,Hofstra North Shore - LIJ School of Medicine,APPROVED_LOCKED,262.0,47500.0,47500.0,,
572,Houston,TX,Texas,False,,False,,,207635,JPROG,,,,2016,False,December 1,April 1,,Private Institution,,Houston Premedical Academy,APPROVED_LOCKED,,11680.0,4750.0,31098.0,17998.0
3764,Washington,DC,District of Columbia,False,"Bacc/MD, MD/MBA, MD/JD, MD/PhD, Summer Program",False,2.9,3.91,127,SCHOOL,117.0,24.0,32.0,2016,False,"June 4, 2015","December 15, 2015",AMCAS,Private Institution,,Howard University College of Medicine,APPROVED_LOCKED,472.0,46658.0,46658.0,,
200,Washington,DC,District of Columbia,False,,False,,,127088,JPROG,15.0,,,2016,False,"March 1, 2016","March 1, 2016",,,,Howard University College of Medicine Joint Degree Program,APPROVED_LOCKED,15.0,47940.0,47940.0,46658.0,46658.0
3852,New York,NY,New York,False,"MD/MPH, MD/PhD, Summer Program",False,3.61,3.98,801,SCHOOL,140.0,33.0,40.0,2016,False,"June 1, 2015","October 15, 2015",AMCAS,Private Institution,,Icahn School of Medicine at Mount Sinai,APPROVED_LOCKED,555.0,46324.0,46324.0,,
3766,Indianapolis,IN,Indiana,False,"MD/MPH, MD/MBA, MD/JD, MD/PhD, Postbaccalaureate",False,3.41,3.98,129,SCHOOL,352.0,26.0,36.0,2016,False,"June 4, 2015","November 17, 2015",AMCAS,Public Institution,,Indiana University School of Medicine,APPROVED_LOCKED,1412.0,54158.0,33804.0,,
3770,Baltimore,MD,Maryland,False,"MD/MBA, MD/PhD, Postbaccalaureate, Summer Program",False,3.72,4.0,133,SCHOOL,118.0,32.0,41.0,2016,False,"June 1, 2015","October 15, 2015",AMCAS,Private Institution,,Johns Hopkins University School of Medicine,APPROVED_LOCKED,464.0,48787.0,48787.0,,
3804,Los Angeles,CA,California,False,"MD/MPH, MD/MBA, MD/PhD, Summer Program",False,3.5,3.96,167,SCHOOL,185.0,30.0,37.0,2016,False,"June 1, 2015","November 2, 2015",AMCAS,Private Institution,,Keck School of Medicine of the University of Southern California,APPROVED_LOCKED,720.0,55399.0,55399.0,,
172,Bethlehem,PA,Pennsylvania,False,,False,,,127092,JPROG,1.0,,,2016,False,"September 1, 2015","November 15, 2015",,,,Lehigh University and Drexel University College of Medicine Joint Degree Program,APPROVED_LOCKED,2.0,56770.0,56770.0,53250.0,53250.0
3780,Loma Linda,CA,California,False,MD/PhD,False,3.54,3.98,143,SCHOOL,168.0,26.0,36.0,2016,False,"June 4, 2015","November 3, 2015",AMCAS,Private Institution,,Loma Linda University School of Medicine,APPROVED_LOCKED,711.0,51820.0,51820.0,,
3774,New Orleans,LA,Louisiana,False,"MD/MPH, MD/PhD, Summer Program",False,3.35,4.0,137,SCHOOL,194.0,27.0,35.0,2016,False,"June 1, 2015","November 30, 2015 / MD/PhD November 1, 2015",AMCAS,Public Institution,,Louisiana State University School of Medicine in New Orleans,APPROVED_LOCKED,773.0,56274.0,27554.0,,
3855,Shreveport,LA,Louisiana,False,"MD/PhD, Summer Program",False,3.36,3.97,804,SCHOOL,123.0,24.0,33.0,2016,False,"June 4, 2015","November 1, 2015",AMCAS,Public Institution,,Louisiana State University School of Medicine in Shreveport,APPROVED_LOCKED,472.0,53913.0,23167.0,,
3776,Maywood,IL,Illinois,False,"MD/MPH, MD/MBA, MD/PhD, Postbaccalaureate, Summer Program",False,3.32,3.96,139,SCHOOL,154.0,29.0,37.0,2016,False,"June 1, 2015","November 15, 2015",AMCAS,Private Institution,,Loyola University Chicago Stritch School of Medicine,APPROVED_LOCKED,614.0,52603.0,52603.0,,
191,Ponce,PR,Puerto Rico,False,,False,,,197033,JPROG,10.0,,,2016,False,"June 15, 2014","December 15,2015",,,,MD Binary Program of Pontifical Catholic University of Puerto Rico and Ponce School of Medicine and Health Sciences,APPROVED_LOCKED,16.0,7030.0,7030.0,47067.0,32425.0
3876,Huntington,WV,West Virginia,False,MD/PhD,False,3.24,3.96,828,SCHOOL,79.0,25.0,33.0,2016,False,"June 1, 2015","November 1, 2015",AMCAS,Public Institution,,Marshall University Joan C. Edwards School of Medicine,APPROVED_LOCKED,294.0,47676.0,20086.0,,
3867,Rochester,MN,Minnesota,False,"MD/MPH, MD/MBA, MD/JD, MD/PhD",False,3.59,3.99,817,SCHOOL,53.0,31.0,39.0,2016,False,"June 1, 2015","October 1, 2015",AMCAS,Private Institution,,Mayo Medical School,APPROVED_LOCKED,217.0,43150.0,43150.0,,
3836,Montreal,QC,Quebec,False,"MD/MBA, MD/PhD",False,,,252,SCHOOL,,,,2016,False,"September 1, 2015","November 1, 2015",,Public Institution,,McGill University Faculty of Medicine,APPROVED_LOCKED,,,,,
3848,Hamilton,ON,Ontario,False,MD/PhD,False,,,265,SCHOOL,,,,2016,False,"July 1, 2015","September 15, 2015",OMSAS,Public Institution,,McMaster University Michael G. DeGroote School of Medicine,APPROVED_LOCKED,,26416.14,26416.14,,
3762,Augusta,GA,Georgia,False,"Bacc/MD, MD/MPH, MD/MBA, MD/PhD, Summer Program",False,3.46,3.97,124,SCHOOL,229.0,27.0,36.0,2016,False,"June 1, 2015","November 1, 2015",AMCAS,Public Institution,,Medical College of Georgia at Georgia Regents University,APPROVED_LOCKED,920.0,57931.0,30127.0,,
3778,Milwaukee,WI,Wisconsin,False,"MD/PhD, Summer Program",False,3.52,3.97,141,SCHOOL,204.0,28.0,36.0,2016,False,"June 1, 2015","November 1, 2015",AMCAS,Private Institution,,Medical College of Wisconsin,APPROVED_LOCKED,819.0,50127.0,45127.0,,
3802,Charleston,SC,South Carolina,False,"MD/MPH, MD/MBA, MD/PhD",False,3.24,3.98,165,SCHOOL,175.0,25.0,36.0,2016,False,"June 5, 2015","November 2, 2015",AMCAS,Public Institution,,Medical University of South Carolina College of Medicine,APPROVED_LOCKED,705.0,62126.0,35662.0,,
3781,Nashville,TN,Tennessee,False,"Bacc/MD, MD/PhD, Summer Program",False,3.24,3.92,144,SCHOOL,105.0,24.0,31.0,2016,False,"June 3, 2015","December 15, 2015",AMCAS,Private Institution,,Meharry Medical College,APPROVED_LOCKED,463.0,45213.0,45213.0,,
3850,St. John's,NL,Newfoundland/Labrador,False,"MD/PhD, Summer Program",False,,,268,SCHOOL,80.0,,,2016,False,"June 22, 2015","September 15, 2015",,Public Institution,,Memorial University of Newfoundland Faculty of Medicine,APPROVED_LOCKED,,9977.0,9977.0,,
3879,Macon,GA,Georgia,False,,False,3.25,3.93,832,SCHOOL,107.0,26.0,32.0,2016,False,"June 1, 2015","Aug 1, 2015 (for Early Decision); Nov 2 2015 (for Regular Pool).",AMCAS,Private Institution,,Mercer University School of Medicine,APPROVED_LOCKED,419.0,,41757.0,,
3832,East Lansing,MI,Michigan,False,"MD/MPH, MD/PhD, Summer Program",False,3.16,3.93,196,SCHOOL,190.0,25.0,35.0,2016,False,"June 1, 2015","November 2, 2015",AMCAS,Public Institution,,Michigan State University College of Human Medicine,APPROVED_LOCKED,845.0,62841.0,31345.0,,
3874,Atlanta,GA,Georgia,False,"MD/MPH, MD/PhD, Postbaccalaureate, Summer Program",False,3.14,3.85,825,SCHOOL,78.0,23.0,31.0,2016,False,"June 4, 2015","December 1, 2015",AMCAS,Private Institution,,Morehouse School of Medicine,APPROVED_LOCKED,279.0,46703.0,46703.0,,
3788,Valhalla,NY,New York,False,"MD/MPH, MD/PhD, Postbaccalaureate",False,3.35,3.88,151,SCHOOL,196.0,28.0,35.0,2016,False,"June 4, 2015","December 15, 2015",AMCAS,Private Institution,,New York Medical College,APPROVED_LOCKED,818.0,54246.0,54246.0,,
3789,New York,NY,New York,False,"MD/MPH, MD/MBA, MD/PhD, Postbaccalaureate, Summer Program",False,3.63,3.98,152,SCHOOL,145.0,33.0,40.0,2016,False,"June 1, 2015","October 15, 2015",AMCAS,Private Institution,,New York University School of Medicine,APPROVED_LOCKED,710.0,52600.0,52600.0,,
3873,Rootstown,OH,Ohio,False,"Bacc/MD, MD/MPH, MD/PhD, Postbaccalaureate",False,3.44,3.97,824,SCHOOL,147.0,24.0,32.0,2016,False,"June 1, 2015","November 1, 2015",AMCAS,Public Institution,,Northeast Ohio Medical University,APPROVED_LOCKED,563.0,70640.0,36950.0,,
166,Rootstown,OH,Ohio,False,,False,,,127150,JPROG,105.0,,,2016,False,"August 1, 2015","December 15, 2015",,,,Northeast Ohio Medical University Joint Degree Program,APPROVED_LOCKED,226.0,,,70640.0,36950.0
3851,Sudbury ,ON,Ontario,False,,False,,,269,SCHOOL,0.0,,,2016,False,July 2015,"October 1, 2015",OMSAS,Public Institution,,Northern Ontario School of Medicine,APPROVED_LOCKED,,,,,
198,Chicago,IL,Illinois,False,,False,,,127099,JPROG,20.0,,,2016,False,"Students must request an application by December 1, 2015 by visiting http://request.ugadm.northwestern.edu/","January 1, 2016",,,,Northwestern University Feinberg School of Medicine Honors Program in Medical Education,APPROVED_LOCKED,72.0,47251.0,47251.0,52436.0,52436.0
3792,Chicago,IL,Illinois,False,"Bacc/MD, MD/MPH, MD/PhD, Postbaccalaureate",False,3.62,3.99,155,SCHOOL,163.0,32.0,40.0,2016,False,"June 1, 2015","October 15, 2015",AMCAS,Private Institution,,Northwestern University The Feinberg School of Medicine,APPROVED_LOCKED,666.0,52436.0,52436.0,,
3886,Rochester,MI,Michigan,False,,False,3.48,3.96,844,SCHOOL,100.0,27.0,35.0,2016,False,"June 1, 2015","November 16, 2015",AMCAS,Public Institution,,Oakland University William Beaumont School of Medicine,APPROVED_LOCKED,317.0,48099.0,48099.0,,
3793,Columbus,OH,Ohio,False,"MD/MPH, MD/MBA, MD/JD, MD/PhD, Postbaccalaureate, Summer Program",False,3.46,3.98,156,SCHOOL,192.0,30.0,39.0,2016,False,"June 1, 2015","November 1, 2015",AMCAS,Public Institution,,Ohio State University College of Medicine,APPROVED_LOCKED,821.0,48973.0,30277.0,,
3795,Portland,OR,Oregon,False,"MD/MPH, MD/PhD",False,3.33,3.95,158,SCHOOL,139.0,28.0,36.0,2016,False,"June 1, 2015","October 15, 2015",AMCAS,Public Institution,,Oregon Health & Science University School of Medicine,APPROVED_LOCKED,528.0,57856.0,41312.0,,
3834,Hershey,PA,Pennsylvania,False,"Bacc/MD, MD/MPH, MD/MBA, MD/PhD",False,3.51,3.96,198,SCHOOL,148.0,28.0,35.0,2016,False,"June 4, 2015","November 15, 2015",AMCAS,Private Institution,,Pennsylvania State University College of Medicine,APPROVED_LOCKED,577.0,52702.0,44880.0,,
177,University Park,PA,Pennsylvania,False,,False,,,127102,JPROG,33.0,,,2016,False,"September 1, 2015","November 30, 2015",,,,Pennsylvania State University and Jefferson Medical College Accelerated B.S./M.D. Program,APPROVED_LOCKED,71.0,30452.0,17502.0,52994.0,52994.0
3877,Ponce,PR,Puerto Rico,False,Bacc/MD,False,3.24,3.95,829,SCHOOL,70.0,21.0,28.0,2016,False,June  2014,"December 15, 2014",AMCAS,Private Institution,,Ponce Health Sciences University School of Medicine,APPROVED_LOCKED,285.0,47067.0,32425.0,,
574,Edinburg,TX,Texas,False,,False,,,207637,JPROG,,,,2016,False,,,,Private Institution,,Premedical Honors College (UT-Pan Am or PHC),APPROVED_LOCKED,,17182.0,6134.0,31098.0,17998.0
3837,Kingston,ON,Ontario,False,MD/PhD,False,,,253,SCHOOL,,,,2016,False,July 2015,"October 1, 2015",OMSAS,Public Institution,,Queen's University Faculty of Health Sciences,APPROVED_LOCKED,,,,,
3796,Philadelphia,PA,Pennsylvania,False,"MD/MPH, MD/MBA, MD/JD, MD/PhD, Postbaccalaureate, Summer Program",False,3.68,3.99,159,SCHOOL,157.0,34.0,40.0,2016,False,"June 1, 2015","October 15, 2015",AMCAS,Private Institution,,Raymond and Ruth Perelman School of Medicine at the University of Pennsylvania,APPROVED_LOCKED,654.0,54378.0,54378.0,,
202,Troy,NY,New York,False,,False,,,127103,JPROG,18.0,,,2016,False,"September 1, 2015","November 1, 2015",,,,Rensselaer Polytechnic Institute and Albany Medical College Accelerated Physician-Scientist Program,APPROVED_LOCKED,42.0,59470.0,59470.0,56103.0,56103.0
182,Houston,TX,Texas,False,,False,,,127104,JPROG,10.0,,,2016,False,"August 1, 2015","December 1, 2015",,,,Rice University and Baylor College of Medicine Joint Degree Program,APPROVED_LOCKED,40.0,39880.0,39880.0,31098.0,17998.0
3863,Chicago,IL,Illinois,False,,False,3.4,3.92,812,SCHOOL,128.0,28.0,35.0,2016,False,"June 1, 2015","November 1, 2015",AMCAS,Private Institution,,Rush Medical College of Rush University Medical Center,APPROVED_LOCKED,525.0,49996.0,49996.0,,
3807,Newark,NJ,New Jersey,False,"Bacc/MD, MD/MPH, MD/MBA, MD/PhD, Summer Program",False,3.42,3.96,170,SCHOOL,178.0,29.0,37.0,2016,False,"June 1, 2015","December 1, 2015",AMCAS,Public Institution,,Rutgers New Jersey Medical School,APPROVED_LOCKED,721.0,59024.0,39160.0,,
169,Piscataway,NJ,New Jersey,False,,False,,,171281,JPROG,2.0,,,2016,False,Apr-01-2015,"June 1, 2015",,,,"Rutgers, New Jersey Medical School BA/MD Program",APPROVED_LOCKED,8.0,26392.0,13072.0,59024.0,39160.0
3817,Piscataway,NJ,New Jersey,False,"Bacc/MD, MD/MPH, MD/MBA, MD/JD, MD/PhD, Postbaccalaureate, Summer Program",False,3.35,3.96,180,SCHOOL,142.0,29.0,37.0,2016,False,"June 1, 2015","December 1, 2015",AMCAS,Public Institution,,"Rutgers, Robert Wood Johnson Medical School",APPROVED_LOCKED,548.0,59850.0,39986.0,,
184,Piscataway,NJ,New Jersey,False,,False,,,127105,JPROG,6.0,,,2016,False,"April 1, 2015","June 1, 2015",,,,"Rutgers, Robert Wood Johnson Medical School BA/MD Program",APPROVED_LOCKED,15.0,28591.0,13813.0,59850.0,39986.0
188,Geneva,NY,New York,False,,False,,,127352,JPROG,2.0,,,2016,False,August 2015,NA,,,,SUNY Upstate Medical University Hobart William Smith College Blackwell Medical Scholarship Program,APPROVED_LOCKED,7.0,46852.0,46852.0,61778.0,36618.0
162,Wilkes-Barre,PA,Pennsylvania,False,,False,,,127118,JPROG,0.0,,,2016,False,"August 1, 2015","November 15, 2015",,,,SUNY-Upstate Medical University/Wilkes University GUTHRIE-Robert Packer Hospital Cooperative Program,APPROVED_LOCKED,2.0,31262.0,31262.0,61778.0,36618.0
3801,St. Louis,MO,Missouri,False,"Bacc/MD, MD/MPH, MD/MBA, MD/PhD, Postbaccalaureate",False,3.57,3.98,164,SCHOOL,180.0,29.0,37.0,2016,False,"June 1, 2015","December 15, 2015",AMCAS,Private Institution,,Saint Louis University School of Medicine,APPROVED_LOCKED,724.0,50140.0,50140.0,,
3881,Caguas,PR,Puerto Rico,False,Postbaccalaureate,False,3.12,3.87,835,SCHOOL,63.0,19.0,28.0,2016,False,"June 4, 2015","December 15, 2015",AMCAS,Private Institution,,San Juan Bautista School of Medicine,APPROVED_LOCKED,253.0,34665.0,27165.0,,
3803,Vermillion,SD,South Dakota,False,MD/PhD,False,3.39,4.0,166,SCHOOL,58.0,26.0,35.0,2016,False,"June 1, 2015","November 1, 2015",AMCAS,Public Institution,,Sanford School of Medicine The University of South Dakota,APPROVED_LOCKED,235.0,67316.0,30110.0,,
3769,Philadelphia,PA,Pennsylvania,False,"Bacc/MD, MD/MPH, MD/MBA, MD/PhD, Postbaccalaureate",False,3.44,3.96,132,SCHOOL,260.0,29.0,36.0,2016,False,"June 1, 2015","November 16, 2015",AMCAS,Private Institution,,Sidney Kimmel Medical College at Thomas Jefferson University,APPROVED_LOCKED,1074.0,52994.0,52994.0,,
195,Loudonville,NY,New York,False,,False,,,127107,JPROG,20.0,,,2016,False,"September 1, 2015","December 1, 2015",,,,Siena College and Albany Medical College Joint Degree Program,APPROVED_LOCKED,58.0,43420.0,43420.0,56103.0,56103.0
173,New York,NY,New York,False,,False,,,127113,JPROG,80.0,,,2016,False,September 2015,"January 8, 2016",,,,Sophie Davis School of Biomedical Education at the City College of New York BS/MD Program,APPROVED_LOCKED,372.0,0.0,5960.0,,
3861,Springfield,IL,Illinois,False,"MD/MPH, MD/JD, Postbaccalaureate",False,3.2,3.99,810,SCHOOL,72.0,25.0,35.0,2016,False,"June 1, 2015","November 15, 2015",AMCAS,Public Institution,,Southern Illinois University School of Medicine,APPROVED_LOCKED,294.0,,32579.0,,
193,St. Louis,MO,Missouri,False,,False,,,127115,JPROG,98.0,,,2016,False,"July 1, 2015","December 1, 2015",,,,St Louis University School of Medicine Combined Degree Program,APPROVED_LOCKED,217.0,35246.0,35246.0,50140.0,50140.0
189,St. Bonaventure,NY,New York,False,,False,,,130398,JPROG,12.0,,,2016,False,"September 1, 2015","December 1, 2015",,,,St. Bonaventure University/George Washington School of Medicine Dual Degree (BS/BA/MD) Program in Medicine,APPROVED_LOCKED,47.0,29589.0,29589.0,,
3806,Stanford,CA,California,False,"MD/MPH, MD/MBA, MD/JD, MD/PhD, Summer Program",False,3.65,4.0,169,SCHOOL,90.0,33.0,41.0,2016,False,"June 4, 2015","October 15, 2015",AMCAS,Private Institution,,Stanford University School of Medicine,APPROVED_LOCKED,468.0,51628.0,51628.0,,
